iter	Passed	Remaining
147	441	2544
148	443	2533
149	445	2525
150	450	2530
151	452	2523
152	454	2514
153	455	2503
154	457	2493
155	459	2485
156	462	2483
157	465	2478
158	467	2471
159	468	2461
160	470	2449
161	473	2449
162	477	2451
163	479	2445
164	481	2436
165	483	2429
166	485	2420
167	487	2411
168	489	2406
169	492	2403
170	494	2396
171	496	2390
172	498	2382
173	500	2374
174	502	2369
175	505	2366
176	509	2370
177	511	2361
178	513	2356
179	515	2350
180	518	2346
181	521	2342
182	524	2341
183	527	2339
184	529	2331
185	530	2323
186	535	2327
187	539	2329
188	541	2323
189	543	2315
190	547	2317
191	550	2318
192	554	2317
193	555	2309
194	557	2302
195	559	2296
196	561	2289
197	566	2294
198	568	2289
199	570	2282
200	572	2275
201	574	2270
202	576	2264
203	579	2260
204	582	2257
205	584	2251
206	585	2244
207	587	2237
208	589	2230
209	591	2225
210	595	2226
211	597	2221
212	599	2216
213	601	2209
214	603	2202
215	604	2195
216	607	2192
217	610	2188
218	612	2183
219	613	2176
220	615	2170
221	617	2163
222	618	2156
223	620	2149
224	625	2155
225	628	2153
226	630	2147
227	632	2140
228	633	2134
229	635	2127
230	638	2126
231	642	2125
232	643	2119
233	645	2113
234	647	2106
235	648	2100
236	650	2093
237	652	2088
238	654	2084
239	656	2079
240	658	2073
241	660	2067
242	661	2061
243	663	2055
244	665	2049
245	667	2046
246	670	2043
247	671	2036
248	673	2030
249	674	2024
250	676	2019
251	678	2013
252	679	2007
253	682	2005
254	684	2001
255	686	1995
256	688	1989
257	689	1983
258	691	1977
259	692	1972
260	694	1966
261	696	1963
262	699	1959
263	700	1954
264	702	1948
265	704	1942
266	705	1937
267	707	1931
268	708	1926
269	711	1923
270	713	1919
271	715	1914
272	716	1909
273	718	1903
274	720	1898
275	721	1893
276	723	1888
277	725	1883
278	728	1882
279	730	1878
280	733	1876
281	735	1871
282	736	1867
283	738	1862
284	740	1857
285	743	1856
286	745	1853
287	748	1849
288	750	1845
289	752	1841
290	753	1836
291	755	1831
292	758	1829
293	760	1825
294	762	1822
295	764	1818
296	766	1814
297	768	1811
298	771	1808
299	773	1805
300	776	1802
301	777	1797
302	779	1794
303	782	1791
304	783	1786
305	786	1783
306	788	1780
307	791	1777
308	792	1773
309	794	1768
310	796	1764
311	798	1759
312	799	1755
313	802	1752
314	804	1749
315	806	1745
316	808	1741
317	810	1737
318	812	1733
319	814	1729
320	816	1726
321	818	1724
322	820	1720
323	822	1716
324	824	1711
325	826	1708
326	828	1704
327	830	1701
328	833	1699
329	835	1695
330	837	1692
331	838	1688
332	841	1684
333	843	1681
334	846	1680
335	848	1677
336	851	1674
337	852	1670
338	854	1665
339	856	1661
340	858	1658
341	862	1658
342	865	1657
343	867	1653
344	869	1649
345	870	1645
346	872	1641
347	876	1642
348	880	1642
349	882	1638
350	885	1637
351	888	1636
352	891	1634
353	897	1637
354	899	1633
355	902	1633
356	904	1628
357	908	1628
358	911	1628
359	913	1624
360	915	1620
361	917	1617
362	919	1613
363	923	1614
364	926	1611
365	928	1608
366	930	1604
367	931	1600
368	937	1602
369	940	1601
370	942	1598
371	945	1596
372	947	1593
373	950	1591
374	954	1591
375	956	1587
376	960	1587
377	962	1583
378	964	1579
379	969	1582
380	972	1580
381	974	1577
382	977	1574
383	981	1574
384	986	1575
385	989	1573
386	990	1569
387	992	1565
388	994	1561
389	997	1559
390	999	1556
391	1001	1552
392	1003	1550
393	1005	1546
394	1007	1543
395	1009	1539
396	1012	1537
397	1014	1534
398	1016	1530
399	1018	1527
400	1022	1526
401	1025	1525
402	1027	1522
403	1029	1519
404	1032	1516
405	1035	1514
406	1038	1512
407	1041	1510
408	1044	1509
409	1046	1505
410	1048	1502
411	1051	1500
412	1053	1497
413	1057	1496
414	1060	1494
415	1062	1491
416	1064	1488
417	1067	1485
418	1075	1491
419	1078	1488
420	1080	1486
421	1084	1484
422	1089	1486
423	1093	1484
424	1096	1482
425	1098	1479
426	1100	1477
427	1109	1482
428	1111	1479
429	1114	1477
430	1122	1481
431	1125	1479
432	1130	1480
433	1138	1485
434	1141	1483
435	1145	1481
436	1169	1506
437	1171	1503
438	1173	1499
439	1176	1497
440	1178	1493
441	1181	1491
442	1184	1489
443	1187	1486
444	1190	1484
445	1193	1483
446	1198	1483
